Time [s],Period,HomeHull,AwayHull
2.0,1.0,561.031976452192,1195.207383295888
3.0,1.0,496.093263975888,1115.390331866992
4.0,1.0,466.225606181376,1083.424410510496
5.0,1.0,503.59345318704004,1105.121644049984
6.0,1.0,563.030124584672,1132.19909303096
7.0,1.0,590.0982874992479,1120.174508288336
8.0,1.0,606.173496658848,1070.539582884896
9.0,1.0,629.383517934432,1028.948559193504
10.0,1.0,632.371519760464,987.387726887664
11.0,1.0,598.477123376128,988.277770842992
12.0,1.0,562.153059325312,1008.56747061584
13.0,1.0,601.2318259276481,1037.221486974928
14.0,1.0,699.0988791284481,1065.30185190056
15.0,1.0,755.0165552629601,993.315834446512
16.0,1.0,730.046562898336,861.707669843392
17.0,1.0,658.742093645984,741.5506381245441
18.0,1.0,584.8865044931999,680.752621449456
19.0,1.0,521.279787529296,594.55198984992
20.0,1.0,473.14974409871996,494.240137386816
21.0,1.0,432.094744394112,399.99740247123196
22.0,1.0,425.60215370390404,369.09221026499193
23.0,1.0,490.732582084656,386.44112110195204
24.0,1.0,565.773331630384,444.74454847627203
25.0,1.0,613.534889746448,548.066680502176
26.0,1.0,656.964282800192,642.7094439638081
27.0,1.0,691.5766585067199,740.359040036144
28.0,1.0,721.8063471400641,889.0142327304321
29.0,1.0,763.1330425585439,1039.25967737824
30.0,1.0,753.5414430220641,1132.284156671616
31.0,1.0,680.521578639344,1173.393779739088
32.0,1.0,611.933823140384,1187.060356958496
33.0,1.0,549.466131664512,1151.216568333968
34.0,1.0,510.39251488985593,1073.4240925784961
35.0,1.0,550.023636976144,1011.8598019000159
36.0,1.0,645.512660723376,1003.234919097888
37.0,1.0,768.0756745053761,1068.796951879632
38.0,1.0,903.773729278464,1169.767730438256
39.0,1.0,943.65221547992,1252.639840625392
40.0,1.0,855.019985882672,1299.925280687744
41.0,1.0,758.1488056608961,1295.181403300608
42.0,1.0,693.150976498688,1220.442351716384
43.0,1.0,643.46587010928,1090.1134358223521
44.0,1.0,598.2276477350241,990.9774334957441
45.0,1.0,608.788661066464,944.619816880944
46.0,1.0,665.0571975715519,924.2789150224321
47.0,1.0,760.8481971342719,882.2292973669279
48.0,1.0,886.377789960832,839.820067603488
49.0,1.0,1012.868210052352,809.0028988301119
50.0,1.0,1086.072492268352,781.76948565352
51.0,1.0,1097.095776263792,744.249773843664
52.0,1.0,1105.532221633776,707.3679071512161
53.0,1.0,1144.968126198048,705.476575379856
54.0,1.0,1216.722052150064,766.464321059776
55.0,1.0,1289.8051379007838,808.3214294983521
56.0,1.0,1342.6871481415678,813.207606976416
85.0,1.0,880.4504778192,405.6926842470287
86.0,1.0,849.571657536976,413.73272858552
87.0,1.0,769.9300641955359,382.35324761505603
88.0,1.0,712.5258380359841,309.288563196368
89.0,1.0,665.9569431777279,283.875804035456
90.0,1.0,624.11349906008,298.405523743248
91.0,1.0,630.702502069792,310.514960571728
92.0,1.0,680.1756562981777,334.2813650239111
147.0,1.0,446.092817374944,827.162325927568
148.0,1.0,500.587514829648,919.068879379744
149.0,1.0,551.762610512464,1036.838627769552
150.0,1.0,591.3973539412,1148.244555668352
151.0,1.0,634.1352718347359,1251.932054755888
152.0,1.0,674.538027043584,1313.9914305472003
153.0,1.0,706.5478338467681,1310.359626926976
154.0,1.0,724.3917616953761,1236.87928802736
155.0,1.0,730.557585951536,1171.672314204112
156.0,1.0,755.517776834512,1202.890123670144
157.0,1.0,822.475979250096,1250.5135367036319
158.0,1.0,900.518317442368,1301.541284792608
159.0,1.0,982.825840198384,1376.965530428176
160.0,1.0,1074.877301148992,1473.0083840269278
161.0,1.0,1164.678861189072,1550.9872348760002
162.0,1.0,1239.8577333860799,1567.168797888192
163.0,1.0,1273.941254499776,1540.1379850996962
164.0,1.0,1255.22967636608,1432.430702493616
165.0,1.0,1223.554323069456,1267.9568868719202
166.0,1.0,1199.3131960161143,1175.3323323366
175.0,1.0,1197.1804857681143,572.8368612374286
176.0,1.0,1156.7908477291521,538.19675952848
177.0,1.0,1088.475811580976,485.71970898512
178.0,1.0,1009.0077057318721,440.30778159550397
179.0,1.0,923.647858139936,445.98975564660805
180.0,1.0,868.0736694137121,469.1889548454079
181.0,1.0,860.8395948485279,468.99058258361606
182.0,1.0,921.969540716496,485.012280344096
183.0,1.0,1028.753405808272,540.989237679904
184.0,1.0,1161.96465963992,640.626314751104
185.0,1.0,1254.360739770144,753.6928661055999
186.0,1.0,1256.426885695072,820.962842055744
187.0,1.0,1159.043986055216,836.9375144061601
188.0,1.0,1023.034907076832,813.9907944364801
189.0,1.0,918.0227092506241,752.355902017888
190.0,1.0,869.8824742126079,692.4041377572639
191.0,1.0,817.381222938992,702.76116138744
192.0,1.0,761.1599370074721,750.4598543692799
193.0,1.0,732.9133643628364,791.3965314801454
202.0,1.0,589.2021884955556,1223.8073116054443
203.0,1.0,592.248990846992,1263.20063747176
204.0,1.0,649.523494760288,1287.986403937728
205.0,1.0,750.5253708798081,1272.53177578408
206.0,1.0,837.02630067608,1253.298540274384
207.0,1.0,864.061357217824,1151.302414518352
208.0,1.0,844.272242694288,943.164050479568
209.0,1.0,798.2598495057441,751.9237366903359
210.0,1.0,761.1089422671361,624.506255065696
211.0,1.0,763.253558285888,578.8741805940961
212.0,1.0,812.1779422158401,594.731562624176
213.0,1.0,854.304282183744,657.455207585168
214.0,1.0,847.0254308450079,721.684413368464
215.0,1.0,814.7672627863519,756.202833227472
216.0,1.0,773.057682732672,778.67422326616
217.0,1.0,698.53002689672,816.551461217584
218.0,1.0,649.815183981312,862.24206956504
219.0,1.0,668.899641123584,922.1034859857921
220.0,1.0,717.0199325338081,979.691444959136
221.0,1.0,823.0707843903841,1052.9030574804801
222.0,1.0,891.299614674976,1085.6304184491842
223.0,1.0,907.878673284352,1107.05720246592
224.0,1.0,895.0616257840161,1115.934377781136
225.0,1.0,884.664557835936,1089.957455062752
226.0,1.0,899.118750894368,981.795853874512
227.0,1.0,953.79893582072,848.183161842672
228.0,1.0,1049.980071944192,803.8440584687361
229.0,1.0,1132.3367112519838,726.045469882368
230.0,1.0,1187.423510991136,650.754508946144
231.0,1.0,1212.209077939664,630.962614224928
232.0,1.0,1216.658101318048,658.6934811784799
233.0,1.0,1212.978331398688,687.471794437552
234.0,1.0,1197.887758580416,703.850333348944
235.0,1.0,1161.846327936576,714.524195546448
236.0,1.0,1096.7286970570879,687.156594565776
237.0,1.0,1093.7069411329278,623.763619092832
238.0,1.0,1192.0435223436962,505.23319359630403
239.0,1.0,1336.444090093328,471.598267206384
240.0,1.0,1462.5115631252481,492.90650203999996
241.0,1.0,1478.212428250272,530.920523280976
242.0,1.0,1418.85279264096,575.261145077776
243.0,1.0,1358.626100267696,618.263115494976
244.0,1.0,1304.0067917451202,662.729627577824
245.0,1.0,1262.460658266784,719.278432444176
