Time [s],Period,HomeHull,AwayHull
2.0,1.0,585.4559190137999,788.1036813294
3.0,1.0,609.9699296728,829.6049920976
4.0,1.0,644.7752450436001,920.9656039028
5.0,1.0,649.9494393675999,971.0922981335999
6.0,1.0,667.7680323504,1037.7968074352002
7.0,1.0,670.3992922076001,1087.5210058648001
8.0,1.0,656.5262614772,1174.0380153828
9.0,1.0,657.7040789508002,1299.4242095903999
10.0,1.0,672.0396459599999,1421.5543026032003
11.0,1.0,694.5566966172,1519.6965568836001
12.0,1.0,744.0810283792001,1624.5870250976002
13.0,1.0,825.9617315631998,1729.8441530992
14.0,1.0,929.9460691227999,1816.8519585808
15.0,1.0,1025.3841398496,1815.6032129456
16.0,1.0,1054.2810561787999,1708.176102128
17.0,1.0,1074.5708651096,1637.9757603992
18.0,1.0,1141.5907590096,1655.5339362708
19.0,1.0,1215.8563507496,1632.3916835155999
20.0,1.0,1267.5999352512,1567.3670263647998
21.0,1.0,1309.4812598883996,1487.8310895452
26.0,1.0,662.7241806508,1327.7486499812003
27.0,1.0,630.9063956740001,1363.7981465212
28.0,1.0,628.7292293651999,1453.4069076259998
29.0,1.0,688.9081012860001,1552.8320255283998
30.0,1.0,783.3489160204002,1662.9418487091998
31.0,1.0,869.9885073091999,1781.6365577452
32.0,1.0,934.5642159819998,1889.6283497700003
33.0,1.0,1022.8744281360001,1939.8827881412
34.0,1.0,1143.7598440692002,1924.7126136595996
35.0,1.0,1197.5374447204003,1854.9443933328
36.0,1.0,1175.6125618972003,1737.0804726103997
37.0,1.0,1149.0070402964002,1628.1755033904
38.0,1.0,1176.9380712907996,1604.6031835131998
39.0,1.0,1188.0752003844,1618.7845512200001
40.0,1.0,1169.7043243148,1591.5496627388
41.0,1.0,1098.5436412844,1465.4029812832
42.0,1.0,987.7570870948,1233.6905825696
43.0,1.0,926.9609498047997,995.5952601900001
44.0,1.0,853.1124792584001,837.4505739356001
45.0,1.0,740.969901328,727.3743526487999
46.0,1.0,650.946255672,693.0929370628002
47.0,1.0,600.5241249827999,736.8830954324
48.0,1.0,594.0205152500001,830.0709633488001
49.0,1.0,624.1677521624001,921.2151217971998
50.0,1.0,686.1869180248,975.1427000252002
51.0,1.0,755.3265690363999,1009.3007942995999
52.0,1.0,807.0898803923999,1059.9828260072
53.0,1.0,851.8267846944,1134.4906375415999
54.0,1.0,910.7765062884,1215.0340574243999
55.0,1.0,975.3307210655998,1303.6335943736
56.0,1.0,1028.6389208992002,1368.8311595512
57.0,1.0,1020.7557269964002,1324.7410236832
58.0,1.0,1021.8164797023999,1231.6691371720003
59.0,1.0,1052.2766796856,1146.8527233476
60.0,1.0,1061.6193407788003,1092.2667465776
61.0,1.0,1005.2829913088,1056.2088844328
62.0,1.0,978.6185428663998,993.9160722564
63.0,1.0,873.7948246968003,929.0670715427999
64.0,1.0,758.6442020440002,861.3815883999998
65.0,1.0,678.2741579871999,843.5753751572001
66.0,1.0,630.8948091744,749.4535580311998
67.0,1.0,619.8862329587998,638.8275977212002
68.0,1.0,631.8498468295999,598.0668795803999
69.0,1.0,598.7725416991999,616.5617246003999
70.0,1.0,539.5780133596,681.0795681699999
71.0,1.0,521.3557273268,763.3945670492
72.0,1.0,537.200263908,875.4832687836002
73.0,1.0,576.5574554256001,1011.4474635604
74.0,1.0,623.6039914167999,1129.2966338315998
75.0,1.0,623.0421710648,1164.4427629040006
76.0,1.0,605.1294870124,1155.8698704400003
77.0,1.0,613.0444627892,1193.537397196
78.0,1.0,666.4409786427998,1296.4454808852
79.0,1.0,717.2088688028002,1406.6813903664001
80.0,1.0,768.4417917324001,1472.4453396412
81.0,1.0,805.2819233408001,1480.1399437924
82.0,1.0,817.0248578044,1441.8976031832003
83.0,1.0,809.7917984715999,1391.7056289795999
84.0,1.0,793.7282576223998,1343.4393015287997
85.0,1.0,766.4728526503998,1308.63980842
86.0,1.0,731.0206819891998,1313.2248096516003
87.0,1.0,708.4789280743998,1330.6732491292
88.0,1.0,727.6240885852,1353.075692226
89.0,1.0,773.9772960663998,1373.3561981516002
90.0,1.0,824.0297496992,1379.7165337476004
91.0,1.0,874.3369794624001,1401.6156915792
92.0,1.0,935.1384813063999,1456.3269376228
93.0,1.0,990.6109912600002,1447.2189127872
94.0,1.0,1016.5832024836,1371.5316958568
95.0,1.0,1024.2884301456002,1306.5183671592
96.0,1.0,1043.4785109124,1227.8092066803997
97.0,1.0,1073.3065300120002,1065.48202797
98.0,1.0,1076.049507382,903.3237323392002
99.0,1.0,1079.7727702292002,796.1938304272002
100.0,1.0,1113.3106979143997,744.5477611556
101.0,1.0,1174.527906382,718.1800556216001
102.0,1.0,1232.6570649311998,718.8326109983999
103.0,1.0,1280.1399209843999,757.7837066792001
104.0,1.0,1328.3624335260001,782.8279477291999
105.0,1.0,1337.354078354,806.3170999004
