Time [s],Period,HomeHull,AwayHull
2.0,1.0,586.1347957541,789.3321673038499
3.0,1.0,610.4359758151201,831.99609206264
4.0,1.0,642.984305488944,917.031594531888
5.0,1.0,651.063432394256,972.127810413008
6.0,1.0,667.510468713408,1036.00197766528
7.0,1.0,669.9216169663999,1087.138392437808
8.0,1.0,657.239067704288,1174.089487379232
9.0,1.0,658.4147968905439,1298.943735280976
10.0,1.0,672.590131688752,1420.388919174672
11.0,1.0,696.095962220496,1519.930378867856
12.0,1.0,745.824645107296,1624.3756002001762
13.0,1.0,827.002690611056,1729.109480899552
14.0,1.0,930.215669571984,1812.631529108944
15.0,1.0,1022.4625430786721,1810.4995678730559
16.0,1.0,1053.820164996256,1709.368160605776
17.0,1.0,1076.160453883872,1637.9750327516
18.0,1.0,1141.537898146896,1654.92858983416
19.0,1.0,1215.2360213460959,1631.995431730896
20.0,1.0,1272.132314709456,1564.5684740606082
21.0,1.0,1309.2706207446665,1487.7082398370221
26.0,1.0,662.7826543494666,1327.7569245249333
27.0,1.0,634.371174062208,1364.735030713072
28.0,1.0,631.519154904336,1453.3988050555358
29.0,1.0,690.205483794992,1553.518798766048
30.0,1.0,782.969538596176,1663.3128449593441
31.0,1.0,868.9610971677761,1781.449748182192
32.0,1.0,935.815329488448,1887.276188329168
33.0,1.0,1027.4345887976,1937.68024520344
34.0,1.0,1139.82935244736,1922.024328301456
35.0,1.0,1194.551412855184,1852.8148010493599
36.0,1.0,1175.187888276528,1737.1629219382878
37.0,1.0,1150.311980854704,1631.406680589808
38.0,1.0,1175.929321436016,1605.795231265472
39.0,1.0,1187.627840664928,1618.1222374798078
40.0,1.0,1167.859978525744,1586.62666310624
41.0,1.0,1096.8190359013759,1460.672952741792
42.0,1.0,990.96354347792,1233.5795400427521
43.0,1.0,926.0091748508,1001.9634540340961
44.0,1.0,851.328686853808,839.200923887152
45.0,1.0,742.2022050250561,730.4158635241441
46.0,1.0,652.196379649792,694.127991144064
47.0,1.0,602.6301267076,738.5568497737761
48.0,1.0,595.542229315632,829.857646452288
49.0,1.0,625.22079396624,919.40058103048
50.0,1.0,686.3666493894721,973.7079309891359
51.0,1.0,754.3373731160959,1008.189304236528
52.0,1.0,806.760216746,1060.645405794672
53.0,1.0,852.293128945184,1135.143583260432
54.0,1.0,910.727277767552,1215.425248587632
55.0,1.0,975.19425906544,1302.420656121824
56.0,1.0,1025.621245539168,1365.954447500832
57.0,1.0,1008.2928001315361,1319.00655901552
58.0,1.0,1023.2493191712799,1230.3825603488
59.0,1.0,1052.195008389232,1148.171156589936
60.0,1.0,1058.435711021648,1093.209327266288
61.0,1.0,1005.831814944832,1055.12329288672
62.0,1.0,973.3230129483039,994.309885790944
63.0,1.0,873.2416245217441,929.18671396328
64.0,1.0,759.2897675492959,867.2397760522881
65.0,1.0,679.007795622608,839.555539193248
66.0,1.0,632.160944369088,748.0724349532
67.0,1.0,621.5297368234401,640.786603184496
68.0,1.0,631.351487309776,599.19400628944
69.0,1.0,597.796636581264,618.651648463136
70.0,1.0,541.489006378144,681.636431104672
71.0,1.0,521.544175816016,764.247725405216
72.0,1.0,537.704468755424,876.0761054911679
73.0,1.0,577.931681125152,1011.6474555462879
74.0,1.0,621.260417846656,1125.584403361792
75.0,1.0,622.204160738848,1164.156654260736
76.0,1.0,606.109516115456,1156.404627447792
77.0,1.0,615.4900970118081,1196.135002569632
78.0,1.0,665.3067299540319,1297.000161972688
79.0,1.0,717.5476480464,1404.927776473872
80.0,1.0,767.9128137530239,1470.058922324528
81.0,1.0,804.7021315851359,1477.7294114341757
82.0,1.0,816.8903959089121,1441.671130893808
83.0,1.0,809.678002906816,1394.150176235808
84.0,1.0,793.197843867088,1344.034445416256
85.0,1.0,765.899376602,1310.397432569824
86.0,1.0,731.13858656088,1313.5839626676002
87.0,1.0,709.1621130687361,1330.839982509296
88.0,1.0,728.7072205454401,1353.079183737952
89.0,1.0,774.393257117984,1372.510302821456
90.0,1.0,824.117701744032,1380.743089452704
91.0,1.0,874.750009207792,1405.79671403568
92.0,1.0,934.85323941072,1453.144028521488
93.0,1.0,989.6288611402721,1444.324791240016
94.0,1.0,1015.9368837423041,1372.6232033544638
95.0,1.0,1024.05186798248,1306.210709003408
96.0,1.0,1043.6876222436479,1223.504957812848
97.0,1.0,1071.5043628008161,1065.675082558624
98.0,1.0,1075.998951637696,905.400009295536
99.0,1.0,1080.884140062832,799.1571348485281
100.0,1.0,1114.6508317201121,745.596453378336
101.0,1.0,1174.452380395776,718.629666759872
102.0,1.0,1232.2174802650882,720.791099114704
103.0,1.0,1280.5403165329758,757.1829677835681
104.0,1.0,1326.3189486160322,783.184729327616
105.0,1.0,1335.3125825781278,806.050699558144
106.0,1.0,1308.518761044992,823.8325404193761
107.0,1.0,1287.494425660304,842.010991893968
108.0,1.0,1273.851877058528,865.535362122512
109.0,1.0,1317.9794378139838,866.16866209136
110.0,1.0,1384.185782802816,850.82174197168
111.0,1.0,1434.722149768336,830.895508107216
112.0,1.0,1423.22303201712,775.640186755248
113.0,1.0,1376.3282369822562,713.769468067088
114.0,1.0,1311.4397418346562,669.6626422624961
115.0,1.0,1226.723425837824,622.766206744496
116.0,1.0,1130.202389727664,575.328215488944
117.0,1.0,1076.66865122808,527.969587427248
118.0,1.0,1079.436680492224,504.40607646126404
119.0,1.0,1132.4321901210722,521.003550530352
120.0,1.0,1219.457164626192,577.584498016688
121.0,1.0,1254.6553257566238,645.071835920864
122.0,1.0,1194.6446801512961,699.449948559856
